id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id2875421,2,2016-03-14 17:24:55,2016-03-14 17:32:30,1,-73.98215484619139,40.76793670654297,-73.96463012695312,40.765602111816406,N,455
id3667993,2,2016-01-03 04:18:57,2016-01-03 04:27:03,1,-73.98052215576173,40.73052978515625,-73.99799346923827,40.746219635009766,N,486
id2002463,2,2016-01-14 12:28:56,2016-01-14 12:37:17,1,-73.9656524658203,40.7683982849121,-73.96006774902342,40.7793083190918,N,501
id1635353,2,2016-03-04 23:20:58,2016-03-04 23:49:29,5,-73.98509216308595,40.75918960571289,-73.96215057373048,40.7098503112793,N,1711
id1850636,1,2016-02-05 00:21:28,2016-02-05 00:52:24,1,-73.99453735351561,40.75043869018555,-74.02571868896483,40.63109970092773,N,1856
id2135926,1,2016-02-24 19:55:41,2016-02-24 20:04:17,1,-73.9558334350586,40.764122009277344,-73.97246551513672,40.74626541137695,N,516
id1509328,2,2016-06-17 09:47:02,2016-06-17 10:11:17,2,-73.98423767089844,40.74432373046875,-73.97466278076173,40.74211883544922,N,1455
id2302144,1,2016-06-14 21:24:21,2016-06-14 21:36:42,1,-73.90413665771484,40.862701416015625,-73.89300537109375,40.831321716308594,N,741
id0453108,2,2016-05-04 19:48:09,2016-05-04 20:30:10,1,-73.78182983398438,40.64477157592773,-73.94233703613281,40.832279205322266,N,2521
id1944291,1,2016-02-20 11:06:18,2016-02-20 11:10:32,1,-73.99140167236328,40.74981689453125,-73.9898910522461,40.756885528564446,N,254
id3545382,2,2016-02-23 11:02:19,2016-02-23 11:05:35,1,-73.97394561767578,40.79136657714844,-73.97989654541014,40.78382110595703,N,196
id3291602,1,2016-04-18 01:54:13,2016-04-18 02:05:28,1,-74.00246429443358,40.7334213256836,-73.9832763671875,40.75713348388672,N,675
id2939661,1,2016-03-18 06:31:45,2016-03-18 06:41:37,1,-73.9782943725586,40.77298355102539,-73.97389221191406,40.75412368774414,N,592
id1194222,2,2016-04-10 00:26:25,2016-04-10 00:51:24,1,-73.99237060546875,40.7253303527832,-73.98873138427734,40.777881622314446,N,1499
id0147704,2,2016-05-25 22:13:22,2016-05-25 22:46:50,1,-73.9844207763672,40.7249755859375,-73.955322265625,40.655078887939446,N,2008
id3611226,2,2016-06-05 09:34:03,2016-06-05 09:42:57,1,-73.98597717285155,40.76215744018555,-73.97697448730467,40.74748611450195,N,534
id3988208,1,2016-03-01 21:40:13,2016-03-01 21:47:26,1,-73.94892883300781,40.79740524291992,-73.96743774414062,40.78954315185546,N,433
id0480924,2,2016-03-29 03:33:37,2016-03-29 03:44:13,1,-73.99981689453125,40.72843170166016,-74.05081176757811,40.73809051513672,N,636
id0833453,1,2016-06-01 12:52:29,2016-06-01 13:10:49,2,-73.99722290039062,40.72234725952149,-73.98463439941406,40.74566268920898,N,1100
id1395947,1,2016-03-19 16:46:57,2016-03-19 17:23:29,1,-73.98113250732422,40.78168487548828,-73.981201171875,40.781299591064446,N,2192
id0243048,2,2016-06-04 23:43:03,2016-06-04 23:51:41,1,-73.93981170654298,40.81560134887695,-73.9586410522461,40.79996109008789,N,518
id0739381,2,2016-06-21 06:46:30,2016-06-21 06:57:55,6,-73.9640121459961,40.80809020996094,-73.99046325683594,40.76717758178711,N,685
id2003085,2,2016-03-25 20:44:54,2016-03-25 20:58:42,2,-73.96311950683594,40.75810241699219,-73.96560668945312,40.790283203125,N,828
id1727712,2,2016-06-29 19:51:36,2016-06-29 19:59:06,1,-73.98706817626953,40.739540100097656,-73.98265838623048,40.735721588134766,N,450
id0092139,1,2016-01-16 17:10:57,2016-01-16 17:29:55,1,-74.00241088867188,40.72407150268555,-73.98356628417967,40.75766372680664,N,1138
id0179765,1,2016-02-20 23:10:39,2016-02-20 23:18:46,2,-73.9925537109375,40.72530364990234,-73.9946060180664,40.71965026855469,N,487
id3758654,1,2016-02-14 20:49:47,2016-02-14 20:51:23,1,-74.00528717041014,40.72259521484375,-74.00457000732422,40.72389602661133,N,96
id3083921,1,2016-05-21 12:22:31,2016-05-21 12:29:14,2,-73.99028778076173,40.763973236083984,-73.97960662841797,40.76081848144531,N,403
id0151990,1,2016-02-14 01:14:36,2016-02-14 01:18:29,1,-73.97914123535155,40.76192474365234,-73.99016571044923,40.76654052734375,N,233
id2966759,1,2016-06-25 15:26:58,2016-06-25 15:34:21,1,-73.97013854980467,40.752891540527344,-73.98188781738281,40.739990234375,N,443
id0297795,2,2016-03-15 19:17:01,2016-03-15 19:20:44,1,-73.97196960449217,40.794048309326165,-73.97329711914062,40.79790878295898,N,223
id3888107,2,2016-06-21 18:30:05,2016-06-21 18:44:43,1,-73.96942901611328,40.757469177246094,-73.9827423095703,40.771968841552734,N,878
id0092643,1,2016-06-07 22:43:09,2016-06-07 22:56:10,2,-74.0008773803711,40.74184036254882,-73.9910430908203,40.74722671508789,N,781
id1625242,1,2016-06-07 08:15:54,2016-06-07 08:28:10,1,-73.99762725830078,40.73777770996094,-74.00828552246092,40.74677658081056,N,736
id1158393,1,2016-06-01 22:16:19,2016-06-01 22:34:24,1,-73.96741485595702,40.761756896972656,-73.92103576660156,40.76946258544922,N,1085
id2995326,1,2016-02-05 13:54:18,2016-02-05 13:59:11,1,-74.00586700439453,40.74108123779297,-73.99239349365233,40.73556137084961,N,293
id1604579,1,2016-06-06 19:51:32,2016-06-06 20:07:01,1,-73.96790313720702,40.76555252075195,-73.96857452392578,40.79889678955078,N,929
id2673049,1,2016-04-13 09:54:24,2016-04-13 10:30:56,2,-73.97001647949219,40.789600372314446,-74.0139389038086,40.71483612060546,N,2192
id2583198,1,2016-05-14 18:51:31,2016-05-14 19:53:50,1,-73.79021453857422,40.643508911132805,-74.00952911376953,40.70578384399414,N,3739
id3572749,2,2016-02-17 18:36:46,2016-02-17 18:50:35,1,-73.98792266845702,40.770069122314446,-73.95319366455078,40.78279113769531,N,829
id1139183,1,2016-05-09 09:29:46,2016-05-09 09:34:38,1,-73.95381164550781,40.76704025268555,-73.96334075927734,40.76899337768555,N,292
id3508248,1,2016-01-04 03:42:09,2016-01-04 03:47:16,1,-73.98795318603516,40.74380493164063,-73.99179077148438,40.75000762939453,N,307
id2843597,1,2016-02-16 18:55:55,2016-02-16 19:08:56,1,-73.98886108398438,40.75821304321289,-73.96269226074217,40.796680450439446,N,781
id0797253,2,2016-06-06 13:04:57,2016-06-06 13:19:15,1,-73.98993682861328,40.7467155456543,-73.97853851318358,40.75249862670898,N,858
id1214191,2,2016-01-09 11:31:01,2016-01-09 11:40:11,4,-73.99140930175781,40.74464797973633,-73.9950942993164,40.72493362426758,N,550
id1365460,2,2016-04-25 07:08:29,2016-04-25 07:14:12,1,-73.98491668701173,40.76905059814453,-73.97570037841797,40.7630615234375,N,343
id3825370,1,2016-05-08 16:57:30,2016-05-08 17:36:48,4,-74.00839233398438,40.74908065795898,-73.97919464111328,40.6697654724121,N,2358
id1891478,2,2016-05-30 11:38:27,2016-05-30 11:45:05,2,-73.97090148925781,40.75983047485352,-73.97090148925781,40.75983047485352,N,398
id0051866,1,2016-01-04 18:48:12,2016-01-04 18:58:50,1,-73.96265411376953,40.7724494934082,-73.9784927368164,40.755836486816406,N,638
id3638105,2,2016-06-23 23:04:27,2016-06-23 23:22:40,1,-74.00359344482422,40.72257232666016,-73.97468566894531,40.68634033203125,N,1093
id3485263,2,2016-05-04 21:35:33,2016-05-04 21:47:26,1,-73.98736572265625,40.7226448059082,-74.0038833618164,40.73473739624024,N,713
id3528412,1,2016-05-13 09:56:21,2016-05-13 10:00:29,1,-73.95974731445312,40.77674865722656,-73.9532470703125,40.785789489746094,N,248
id3579875,1,2016-04-23 11:11:27,2016-04-23 11:43:37,1,-73.98194122314453,40.76341247558594,-73.99542999267578,40.71963119506836,N,1930
id0833022,2,2016-04-19 22:31:40,2016-04-19 22:37:27,1,-73.95243072509764,40.79840850830078,-73.949951171875,40.79058837890625,N,347
id3264393,2,2016-06-25 22:59:21,2016-06-25 23:08:46,2,-73.97042846679686,40.75624084472656,-73.98652648925781,40.7665901184082,N,565
id0616736,2,2016-01-19 10:20:07,2016-01-19 10:34:51,2,-73.96932220458984,40.763519287109375,-73.97138977050781,40.761749267578125,N,884
id2046505,2,2016-04-21 23:59:24,2016-04-22 00:06:30,5,-73.98540496826173,40.73820495605469,-73.97836303710938,40.75112533569336,N,426
id2203238,2,2016-04-02 19:21:54,2016-04-02 19:28:03,2,-73.9792709350586,40.730010986328125,-73.98174285888672,40.73989868164063,N,369
id1986470,2,2016-02-20 01:07:03,2016-02-20 01:16:13,1,-73.98609161376953,40.75796890258789,-73.98335266113281,40.743770599365234,N,550
id3572411,2,2016-04-25 19:04:35,2016-04-25 19:09:03,1,-73.97090911865233,40.76140594482422,-73.97366333007811,40.76454162597656,N,268
id0500836,2,2016-01-27 10:04:50,2016-01-27 10:34:35,1,-73.99331665039062,40.75623321533203,-73.98973846435547,40.734371185302734,N,1785
id1160561,1,2016-03-18 10:53:26,2016-03-18 11:09:04,1,-74.0053482055664,40.71868896484375,-73.9908905029297,40.7457275390625,N,938
id3088186,2,2016-06-04 03:55:01,2016-06-04 04:12:14,1,-73.98724365234375,40.76067352294922,-73.92682647705078,40.762725830078125,N,1033
id2438985,1,2016-01-31 14:28:30,2016-01-31 14:36:45,1,-73.95343017578125,40.78261184692384,-73.97037506103516,40.76800155639648,N,495
id1188146,2,2016-03-13 16:12:06,2016-03-13 16:32:22,4,-73.98845672607422,40.74298095703125,-74.01339721679686,40.71076965332031,N,1216
id0255216,1,2016-05-04 20:32:34,2016-05-04 20:41:53,1,-73.93987274169923,40.75128173828125,-73.95292663574217,40.76827239990234,N,559
